model,type,parameter,coef
GARCH_M3,GARCH,mu,0.09394632589218713
GARCH_M3,GARCH,omega,0.38172091473880043
GARCH_M3,GARCH,alpha,0.072700043973279
GARCH_M3,GARCH,beta,0.9234184356593269
GARCH_M3,GARCH,gamma(VIX_scaled),-0.023083144644341445
GARCH_M3,GARCH,gamma(fear_greed_lag1_scaled),0.15724984703541398
GARCH_M3,GARCH,nu,2.9552989114251766
GARCH_M2,GARCH,mu,0.08855115739000362
GARCH_M2,GARCH,omega,0.4431942155715561
GARCH_M2,GARCH,alpha,0.08081862306669194
GARCH_M2,GARCH,beta,0.9128721180519069
GARCH_M2,GARCH,gamma(GPR_custom_scaled),0.026273791726623006
GARCH_M2,GARCH,nu,2.998308777425364
EGARCH_E1,EGARCH,mu,0.09359494642219031
EGARCH_E1,EGARCH,omega,0.06214012158734429
EGARCH_E1,EGARCH,alpha,0.17750244630980785
EGARCH_E1,EGARCH,gamma_asym,0.0047397052346868805
EGARCH_E1,EGARCH,beta,0.978088184895158
EGARCH_E1,EGARCH,delta(GPR_custom_scaled),0.00026476542242611566
EGARCH_E1,EGARCH,nu,3.017665721795987
EGARCH_E2,EGARCH,mu,0.09369815108970751
EGARCH_E2,EGARCH,omega,0.0647327971536403
EGARCH_E2,EGARCH,alpha,0.1773872135452702
EGARCH_E2,EGARCH,gamma_asym,0.003180251377125229
EGARCH_E2,EGARCH,beta,0.9771128570089364
EGARCH_E2,EGARCH,delta(GPR_zscore_scaled),-0.003286404262712804
EGARCH_E2,EGARCH,nu,3.0304413397281524
EGARCH_E3,EGARCH,mu,0.09009221542593565
EGARCH_E3,EGARCH,omega,0.06157564303809738
EGARCH_E3,EGARCH,alpha,0.17641624753727123
EGARCH_E3,EGARCH,gamma_asym,-0.017123834211078152
EGARCH_E3,EGARCH,beta,0.9783334102165511
EGARCH_E3,EGARCH,delta(VIX_scaled),-0.00041714297538203383
EGARCH_E3,EGARCH,delta(fear_greed_lag1_scaled),0.01344441950902421
EGARCH_E3,EGARCH,nu,3.00518984868128
EGARCH_E4,EGARCH,mu,0.08941919110531413
EGARCH_E4,EGARCH,omega,0.0625297589159087
EGARCH_E4,EGARCH,alpha,0.1757952997441168
EGARCH_E4,EGARCH,gamma_asym,-0.018348332918041704
EGARCH_E4,EGARCH,beta,0.977992298655716
EGARCH_E4,EGARCH,delta(GPR_custom_scaled),0.0030000379856487255
EGARCH_E4,EGARCH,delta(VIX_scaled),-3.061588316931935e-05
EGARCH_E4,EGARCH,delta(fear_greed_lag1_scaled),0.014149107465114347
EGARCH_E4,EGARCH,nu,3.008288443517689
EGARCH_E5,EGARCH,mu,0.08929238866573384
EGARCH_E5,EGARCH,omega,0.05963978517540354
EGARCH_E5,EGARCH,alpha,0.17364210650217293
EGARCH_E5,EGARCH,gamma_asym,-0.017582250569391115
EGARCH_E5,EGARCH,beta,0.9790159779404722
EGARCH_E5,EGARCH,delta(GPR_custom_diff_scaled),0.028435866072261624
EGARCH_E5,EGARCH,delta(VIX_scaled),-0.00034141221043751803
EGARCH_E5,EGARCH,delta(fear_greed_lag1_scaled),0.01359706447869052
EGARCH_E5,EGARCH,nu,3.001919285380619
EGARCH_E6,EGARCH,mu,0.08947836448211731
EGARCH_E6,EGARCH,omega,0.06003437683109315
EGARCH_E6,EGARCH,alpha,0.1743712770025735
EGARCH_E6,EGARCH,gamma_asym,-0.018805477754394728
EGARCH_E6,EGARCH,beta,0.9777316523511494
EGARCH_E6,EGARCH,delta(GPR_custom_high),0.012818926147308235
EGARCH_E6,EGARCH,delta(VIX_scaled),0.0005273125938965866
EGARCH_E6,EGARCH,delta(fear_greed_lag1_scaled),0.014425792477255452
EGARCH_E6,EGARCH,nu,3.0118188153301784
