event,asset,CAR,t_stat,p_norm,p_boot,p_t,sig,label
hormuz_crisis,BTC,0.08078773341690873,0.834545264049999,0.4359347639398896,0.2356,0.4359347639398896,False,⚪ 비유의
hormuz_crisis,Gold,0.0036915442713831917,0.22259909509910997,0.8312316462185234,0.7924,0.8312316462185234,False,⚪ 비유의
hormuz_crisis,TLT,0.0038489458782451002,0.29044701839595943,0.7812517300651882,0.7484,0.7812517300651882,False,⚪ 비유의
hormuz_crisis,DXY,0.009392661473250375,1.5634790742323619,0.1689711426144036,0.2044,0.1689711426144036,False,⚪ 비유의
hormuz_crisis,NASDAQ,0.0072844303560979495,0.9210818080995863,0.3925364736517847,0.2028,0.3925364736517847,False,⚪ 비유의
soleimani_assassination,BTC,0.14175061628797353,1.5161171131524447,0.1802748405264034,0.227,0.1802748405264034,False,⚪ 비유의
soleimani_assassination,Gold,0.02599361777446854,1.2320056866720257,0.2640350251845811,0.1822,0.2640350251845811,False,⚪ 비유의
soleimani_assassination,TLT,-0.009130690926921953,-0.356302870371864,0.7338078527450991,0.6764,0.7338078527450991,False,⚪ 비유의
soleimani_assassination,DXY,0.002772718779611518,0.32794565759326944,0.7540943898935049,0.6926,0.7540943898935049,False,⚪ 비유의
soleimani_assassination,NASDAQ,0.008811883626933734,2.1971801827156026,0.07037504871445721,0.0986,0.07037504871445721,False,⚪ 비유의
russia_ukraine_war,BTC,0.1127393717527177,1.042200358770326,0.3374799985517498,0.239,0.3374799985517498,False,⚪ 비유의
russia_ukraine_war,Gold,0.02173463688776269,0.6431975343570022,0.5438793734963019,0.267,0.5438793734963019,False,⚪ 비유의
russia_ukraine_war,TLT,0.032113878784042885,1.0125844328294962,0.35033674078853494,0.1874,0.35033674078853494,False,⚪ 비유의
russia_ukraine_war,DXY,0.014097281077850124,1.0741415533369314,0.32404640250835604,0.0552,0.32404640250835604,False,⚪ 비유의
russia_ukraine_war,NASDAQ,0.012708309771263039,0.5812497121523138,0.5822331339153399,0.239,0.5822331339153399,False,⚪ 비유의
israel_hamas_war,BTC,-0.028596934276313803,-0.8709987159060064,0.41723792096738554,0.5342,0.41723792096738554,False,⚪ 비유의
israel_hamas_war,Gold,0.026302050393875138,1.834645807247772,0.11623742247945046,0.0854,0.11623742247945046,False,⚪ 비유의
israel_hamas_war,TLT,0.014464270376773395,0.29958002397662403,0.7746043969551621,0.533,0.7746043969551621,False,⚪ 비유의
israel_hamas_war,DXY,-0.0051156726049838095,-0.517710036482766,0.6231871781877456,0.6176,0.6231871781877456,False,⚪ 비유의
israel_hamas_war,NASDAQ,0.00014147652688442083,0.02297621247189019,0.9824143061220925,0.984,0.9824143061220925,False,⚪ 비유의
israel_iran,BTC,-0.06289932089126521,-0.7506297595153717,0.4812656237345845,0.4158,0.4812656237345845,False,⚪ 비유의
israel_iran,Gold,0.043281729356723975,2.6107270762151256,0.04008132266726494,0.035,0.04008132266726494,True,🟢 Safe Haven
israel_iran,TLT,-0.002615374505568745,-0.09354262912724871,0.9285179298326733,0.9246,0.9285179298326733,False,⚪ 비유의
israel_iran,DXY,0.0006050151094437741,0.07279392156123916,0.9443361053254273,0.957,0.9443361053254273,False,⚪ 비유의
israel_iran,NASDAQ,-0.0003815853876144881,-0.045872624965828765,0.9649004468730333,0.9596,0.9649004468730333,False,⚪ 비유의
us_israel_iran,BTC,0.13152642363763178,1.8975982409130354,0.10652396631819094,0.01,0.10652396631819094,False,⚪ 비유의
us_israel_iran,Gold,-0.04028840045679349,-0.8905075561333268,0.40748036058255077,0.225,0.40748036058255077,False,⚪ 비유의
us_israel_iran,TLT,-0.01115876627258578,-0.6594329050407347,0.5340947140857215,0.3936,0.5340947140857215,False,⚪ 비유의
us_israel_iran,DXY,0.014161427742025483,1.1782595770883988,0.2833020120500278,0.0678,0.2833020120500278,False,⚪ 비유의
us_israel_iran,NASDAQ,0.007241649890585911,0.7652950910217567,0.47311436193913337,0.252,0.47311436193913337,False,⚪ 비유의
