event,asset,CAR,t_stat,p_norm,p_boot,p_t,sig,label,p_norm_bh,sig_bh
hormuz_crisis,BTC,0.0807877334169087,0.834545264049999,0.4359347639398896,0.2356,0.4359347639398896,False,⚪ 비유의,0.8492922771786785,False
hormuz_crisis,Gold,0.0036915442713831,0.2225990950991099,0.8312316462185234,0.7924,0.8312316462185234,False,⚪ 비유의,0.9591134379444501,False
hormuz_crisis,TLT,0.0038489458782451,0.2904470183959594,0.7812517300651882,0.7484,0.7812517300651882,False,⚪ 비유의,0.9375020760782259,False
hormuz_crisis,DXY,0.0093926614732503,1.563479074232362,0.1689711426144036,0.2044,0.1689711426144036,False,⚪ 비유의,0.8492922771786785,False
hormuz_crisis,NASDAQ,0.0072844303560979,0.9210818080995864,0.3925364736517847,0.2028,0.3925364736517847,False,⚪ 비유의,0.8492922771786785,False
soleimani_assassination,BTC,0.1417506162879735,1.516117113152445,0.1802748405264034,0.227,0.1802748405264034,False,⚪ 비유의,0.8492922771786785,False
soleimani_assassination,Gold,0.0259936177744685,1.2320056866720257,0.2640350251845811,0.1822,0.2640350251845811,False,⚪ 비유의,0.8492922771786785,False
soleimani_assassination,TLT,-0.0091306909269219,-0.356302870371864,0.7338078527450991,0.6764,0.7338078527450991,False,⚪ 비유의,0.9375020760782259,False
soleimani_assassination,DXY,0.0027727187796115,0.3279456575932694,0.7540943898935049,0.6926,0.7540943898935049,False,⚪ 비유의,0.9375020760782259,False
soleimani_assassination,NASDAQ,0.0088118836269337,2.1971801827156026,0.0703750487144572,0.0986,0.0703750487144572,False,⚪ 비유의,0.8492922771786785,False
russia_ukraine_war,BTC,0.1127393717527177,1.042200358770326,0.3374799985517498,0.239,0.3374799985517498,False,⚪ 비유의,0.8492922771786785,False
russia_ukraine_war,Gold,0.0217346368877626,0.6431975343570022,0.5438793734963019,0.267,0.5438793734963019,False,⚪ 비유의,0.8587569055204766,False
russia_ukraine_war,TLT,0.0321138787840428,1.0125844328294962,0.3503367407885349,0.1874,0.3503367407885349,False,⚪ 비유의,0.8492922771786785,False
russia_ukraine_war,DXY,0.0140972810778501,1.0741415533369314,0.324046402508356,0.0552,0.324046402508356,False,⚪ 비유의,0.8492922771786785,False
russia_ukraine_war,NASDAQ,0.012708309771263,0.5812497121523138,0.5822331339153399,0.239,0.5822331339153399,False,⚪ 비유의,0.8733497008730099,False
israel_hamas_war,BTC,-0.0285969342763138,-0.8709987159060064,0.4172379209673855,0.5342,0.4172379209673855,False,⚪ 비유의,0.8492922771786785,False
israel_hamas_war,Gold,0.0263020503938751,1.834645807247772,0.1162374224794504,0.0854,0.1162374224794504,False,⚪ 비유의,0.8492922771786785,False
israel_hamas_war,TLT,0.0144642703767733,0.299580023976624,0.7746043969551621,0.533,0.7746043969551621,False,⚪ 비유의,0.9375020760782259,False
israel_hamas_war,DXY,-0.0051156726049838,-0.517710036482766,0.6231871781877456,0.6176,0.6231871781877456,False,⚪ 비유의,0.8902673974110652,False
israel_hamas_war,NASDAQ,0.0001414765268844,0.0229762124718901,0.9824143061220924,0.984,0.9824143061220924,False,⚪ 비유의,0.9824143061220924,False
israel_iran,BTC,-0.0628993208912652,-0.7506297595153717,0.4812656237345845,0.4158,0.4812656237345845,False,⚪ 비유의,0.8492922771786785,False
israel_iran,Gold,0.0432817293567239,2.6107270762151256,0.0400813226672649,0.035,0.0400813226672649,True,🟢 Safe Haven,0.8492922771786785,False
israel_iran,TLT,-0.0026153745055687,-0.0935426291272487,0.9285179298326732,0.9246,0.9285179298326732,False,⚪ 비유의,0.9824143061220924,False
israel_iran,DXY,0.0006050151094437,0.0727939215612391,0.9443361053254272,0.957,0.9443361053254272,False,⚪ 비유의,0.9824143061220924,False
israel_iran,NASDAQ,-0.0003815853876144,-0.0458726249658287,0.9649004468730332,0.9596,0.9649004468730332,False,⚪ 비유의,0.9824143061220924,False
us_israel_iran,BTC,0.1315264236376317,1.8975982409130356,0.1065239663181909,0.01,0.1065239663181909,False,⚪ 비유의,0.8492922771786785,False
us_israel_iran,Gold,-0.0402884004567934,-0.8905075561333268,0.4074803605825507,0.225,0.4074803605825507,False,⚪ 비유의,0.8492922771786785,False
us_israel_iran,TLT,-0.0111587662725857,-0.6594329050407347,0.5340947140857215,0.3936,0.5340947140857215,False,⚪ 비유의,0.8587569055204766,False
us_israel_iran,DXY,0.0141614277420254,1.1782595770883988,0.2833020120500278,0.0678,0.2833020120500278,False,⚪ 비유의,0.8492922771786785,False
us_israel_iran,NASDAQ,0.0072416498905859,0.7652950910217567,0.4731143619391333,0.252,0.4731143619391333,False,⚪ 비유의,0.8492922771786785,False
