section,model,label,AIC,BIC,LogLik
GARCH 기본,Model3,VIX + Fear&Greed,9578.71,9617.26,-4782.355
GARCH 기본,Model4,공식 GPR + 시장심리,9580.39,9624.447,-4782.195
GARCH 기본,Model5,커스텀 GPR + 시장심리,9580.417,9624.474,-4782.208
GARCH 기본,Model2,커스텀 GPR 단독,9582.402,9615.445,-4785.201
GARCH 기본,Model1,공식 GPR 단독,9582.517,9615.56,-4785.259
이벤트 더미 강건성,Model3_eventD,VIX + Fear&Greed + 이벤트 더미,9569.545164085044,9635.630857041775,-4772.772582042522
이벤트 더미 강건성,Model5_eventD,커스텀 GPR + 시장심리 + 이벤트 더미,9571.418175187104,9643.011009223563,-4772.709087593552
이벤트 더미 강건성,Model3,VIX + Fear&Greed,9578.710353738352,9617.260341296445,-4782.355176869176
이벤트 더미 강건성,Model5,커스텀 GPR + 시장심리,9580.416905906526,9624.474034544348,-4782.208452953263
EGARCH 강건성,EGARCH_E3,[EGARCH] VIX+F&G,9559.119,9603.176,-4771.559
EGARCH 강건성,EGARCH_E6,[EGARCH] GPR더미+VIX+F&G,9560.037,9609.601,-4771.018
EGARCH 강건성,EGARCH_E5,[EGARCH] ΔGPR+VIX+F&G,9560.607,9610.171,-4771.303
EGARCH 강건성,EGARCH_E4,[EGARCH] GPR_custom+VIX+F&G,9560.756,9610.32,-4771.378
EGARCH 강건성,EGARCH_E2,[EGARCH] GPR_zscore 단독,9565.077,9603.627,-4775.538
EGARCH 강건성,EGARCH_E1,[EGARCH] GPR_custom 단독,9565.481,9604.031,-4775.74
EGARCH 강건성,GARCH_M3,[GARCH 기준] VIX+F&G,9578.71,9617.26,-4782.355
EGARCH 강건성,GARCH_M2,[GARCH 기준] GPR_custom,9582.402,9615.445,-4785.201
