model,model_label,param,estimate,se,p_value,converged,loglik,AIC,BIC
Model1,공식 GPR 단독,mu,0.088789149865766,0.0634481529521028,0.16186486876166062,True,-4785.25867987596,9582.51735975192,9615.560206230286
Model1,공식 GPR 단독,omega,0.4414969505860108,0.16849996099807954,0.008862126872761555,True,-4785.25867987596,9582.51735975192,9615.560206230286
Model1,공식 GPR 단독,alpha,0.08076361121519655,0.01995056081734805,5.378534292588277e-05,True,-4785.25867987596,9582.51735975192,9615.560206230286
Model1,공식 GPR 단독,beta,0.9129491011936912,0.018083053250588756,0.0,True,-4785.25867987596,9582.51735975192,9615.560206230286
Model1,공식 GPR 단독,gamma(GPR_zscore_scaled),-0.004496773769477179,0.09019320240711469,0.9602417298415196,True,-4785.25867987596,9582.51735975192,9615.560206230286
Model1,공식 GPR 단독,nu,2.99911283446694,0.2540776288032374,0.0,True,-4785.25867987596,9582.51735975192,9615.560206230286
Model2,커스텀 GPR 단독,mu,0.08855115739000362,0.06336225472344113,0.16242264966046926,True,-4785.200983174146,9582.401966348292,9615.444812826658
Model2,커스텀 GPR 단독,omega,0.4431942155715561,0.16748512316007183,0.00821120149104404,True,-4785.200983174146,9582.401966348292,9615.444812826658
Model2,커스텀 GPR 단독,alpha,0.08081862306669194,0.0199564018921885,5.342861597412707e-05,True,-4785.200983174146,9582.401966348292,9615.444812826658
Model2,커스텀 GPR 단독,beta,0.9128721180519069,0.01813478579006998,0.0,True,-4785.200983174146,9582.401966348292,9615.444812826658
Model2,커스텀 GPR 단독,gamma(GPR_custom_scaled),0.026273791726623006,0.07749666145790843,0.734625391609687,True,-4785.200983174146,9582.401966348292,9615.444812826658
Model2,커스텀 GPR 단독,nu,2.998308777425364,0.2529759733398141,0.0,True,-4785.200983174146,9582.401966348292,9615.444812826658
Model3,VIX + Fear&Greed,mu,0.09394632589218713,0.06323900972603874,0.13756518884956304,True,-4782.355176869176,9578.710353738352,9617.260341296445
Model3,VIX + Fear&Greed,omega,0.38172091473880043,0.16316810239525764,0.019421008560103648,True,-4782.355176869176,9578.710353738352,9617.260341296445
Model3,VIX + Fear&Greed,alpha,0.072700043973279,0.018689260127690885,0.0001038881284942672,True,-4782.355176869176,9578.710353738352,9617.260341296445
Model3,VIX + Fear&Greed,beta,0.9234184356593269,0.017447829197549145,0.0,True,-4782.355176869176,9578.710353738352,9617.260341296445
Model3,VIX + Fear&Greed,gamma(VIX_scaled),-0.023083144644341445,0.09144956731528972,0.8007497309839948,True,-4782.355176869176,9578.710353738352,9617.260341296445
Model3,VIX + Fear&Greed,gamma(fear_greed_lag1_scaled),0.15724984703541398,0.07554402969941224,0.037522094572377984,True,-4782.355176869176,9578.710353738352,9617.260341296445
Model3,VIX + Fear&Greed,nu,2.9552989114251766,0.2493724084689971,0.0,True,-4782.355176869176,9578.710353738352,9617.260341296445
Model4,공식 GPR + 시장심리,mu,0.0928512460580434,0.06316630068453241,0.14174905262805626,True,-4782.195146600314,9580.390293200628,9624.44742183845
Model4,공식 GPR + 시장심리,omega,0.3658468642739738,0.1614080992977066,0.02353232463584609,True,-4782.195146600314,9580.390293200628,9624.44742183845
Model4,공식 GPR + 시장심리,alpha,0.07266215685186712,0.018745749867592396,0.00010988215054474892,True,-4782.195146600314,9580.390293200628,9624.44742183845
Model4,공식 GPR + 시장심리,beta,0.9248310556415388,0.0173961548850091,0.0,True,-4782.195146600314,9580.390293200628,9624.44742183845
Model4,공식 GPR + 시장심리,gamma(GPR_zscore_scaled),0.044041890738308574,0.08026707704290822,0.583284503264399,True,-4782.195146600314,9580.390293200628,9624.44742183845
Model4,공식 GPR + 시장심리,gamma(VIX_scaled),-0.030381087013194783,0.08854147795469747,0.7315417213827196,True,-4782.195146600314,9580.390293200628,9624.44742183845
Model4,공식 GPR + 시장심리,gamma(fear_greed_lag1_scaled),0.16668244751303346,0.0778371024894157,0.03237259843658391,True,-4782.195146600314,9580.390293200628,9624.44742183845
Model4,공식 GPR + 시장심리,nu,2.9382367218696857,0.24900292970693574,0.0,True,-4782.195146600314,9580.390293200628,9624.44742183845
Model5,커스텀 GPR + 시장심리,mu,0.09389462897132937,0.06321118802246904,0.13760868913602486,True,-4782.208452953263,9580.416905906526,9624.474034544348
Model5,커스텀 GPR + 시장심리,omega,0.385575400409669,0.16336633877896967,0.01837103222373293,True,-4782.208452953263,9580.416905906526,9624.474034544348
Model5,커스텀 GPR + 시장심리,alpha,0.07256544319678328,0.01875579694876467,0.00011316524924342986,True,-4782.208452953263,9580.416905906526,9624.474034544348
Model5,커스텀 GPR + 시장심리,beta,0.9233971035376942,0.017519072852465904,0.0,True,-4782.208452953263,9580.416905906526,9624.474034544348
Model5,커스텀 GPR + 시장심리,gamma(GPR_custom_scaled),0.0363671269021164,0.06862234759822301,0.5962042794209359,True,-4782.208452953263,9580.416905906526,9624.474034544348
Model5,커스텀 GPR + 시장심리,gamma(VIX_scaled),-0.02471684996138924,0.09168266240625754,0.7875053581869524,True,-4782.208452953263,9580.416905906526,9624.474034544348
Model5,커스텀 GPR + 시장심리,gamma(fear_greed_lag1_scaled),0.16153627842996196,0.07610963018864604,0.03393806705846969,True,-4782.208452953263,9580.416905906526,9624.474034544348
Model5,커스텀 GPR + 시장심리,nu,2.95317296347659,0.24922938058766977,0.0,True,-4782.208452953263,9580.416905906526,9624.474034544348
