자산,τ,β_기존,p_기존,β_GPR제거,p_GPR제거,차이,방향일치,판정
SP500,0.01,0.02552,0.0,0.02558,0.0,6e-05,✅ 일치,β 안정적 (±20% 이내)
SP500,0.025,0.02099,0.0,0.01968,0.0,-0.0013,✅ 일치,β 안정적 (±20% 이내)
SP500,0.05,0.01783,0.0,0.0174,0.0,-0.00043,✅ 일치,β 안정적 (±20% 이내)
SP500,0.1,0.01588,0.0,0.01595,0.0,7e-05,✅ 일치,β 안정적 (±20% 이내)
SP500,0.2,0.01303,0.0,0.0132,0.0,0.00017,✅ 일치,β 안정적 (±20% 이내)
SP500,0.25,0.0121,0.0,0.01209,0.0,-2e-05,✅ 일치,β 안정적 (±20% 이내)
SP500,0.5,0.0109,0.0,0.01093,0.0,4e-05,✅ 일치,β 안정적 (±20% 이내)
SP500,0.75,0.00983,0.0,0.00982,0.0,-1e-05,✅ 일치,β 안정적 (±20% 이내)
SP500,0.9,0.00939,0.0004,0.00858,0.0016,-0.0008,✅ 일치,β 안정적 (±20% 이내)
SP500,0.95,0.00933,0.0013,0.00961,0.0009,0.00027,✅ 일치,β 안정적 (±20% 이내)
Gold,0.01,0.01449,0.0,0.01664,0.0,0.00214,✅ 일치,β 안정적 (±20% 이내)
Gold,0.025,0.00689,0.0012,0.00705,0.0008,0.00016,✅ 일치,β 안정적 (±20% 이내)
Gold,0.05,0.00598,0.0005,0.00617,0.0003,0.00019,✅ 일치,β 안정적 (±20% 이내)
Gold,0.1,0.00389,0.005,0.00383,0.0057,-7e-05,✅ 일치,β 안정적 (±20% 이내)
Gold,0.2,0.00354,0.0035,0.00346,0.0041,-7e-05,✅ 일치,β 안정적 (±20% 이내)
Gold,0.25,0.00241,0.0393,0.00243,0.0371,2e-05,✅ 일치,β 안정적 (±20% 이내)
Gold,0.5,0.00375,0.0007,0.00364,0.001,-0.00011,✅ 일치,β 안정적 (±20% 이내)
Gold,0.75,0.00366,0.0019,0.00385,0.001,0.0002,✅ 일치,β 안정적 (±20% 이내)
Gold,0.9,0.00166,0.2628,0.00164,0.2619,-2e-05,✅ 일치,β 안정적 (±20% 이내)
Gold,0.95,0.0049,0.0055,0.00462,0.0084,-0.00027,✅ 일치,β 안정적 (±20% 이내)
